movie_id,rating,title,genre
2294629,1233,Frozen (2013),Animation|Adventure|Comedy|Family|Fantasy|Musical
2096673,1119,Inside Out (2015),Animation|Adventure|Comedy|Drama|Family|Fantasy
1690953,1092,Despicable Me 2 (2013),Animation|Adventure|Comedy|Family|Fantasy|Sci-Fi
2948356,983,Zootopia (2016),Animation|Adventure|Comedy|Crime|Family|Mystery
1490017,962,The Lego Movie (2014),Animation|Action|Adventure|Comedy|Family|Fantasy
1453405,939,Monsters University (2013),Animation|Adventure|Comedy|Family|Fantasy
2245084,858,Big Hero 6 (2014),Animation|Action|Adventure|Comedy|Family|Sci-Fi
2380307,825,Coco (2017),Animation|Adventure|Comedy|Family|Fantasy|Music|Mystery
4633694,654,Spider-Man: Into the Spider-Verse (2018),Animation|Action|Adventure|Family|Sci-Fi
1979376,596,Toy Story 4 (2019),Animation|Adventure|Comedy|Family|Fantasy
