movie_id,rating,title,genre
1431045,1854,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi
2278388,1759,The Grand Budapest Hotel (2014),Adventure|Comedy|Crime|Drama
3783958,1701,La La Land (2016),Comedy|Drama|Music|Musical|Romance
2015381,1660,Guardians of the Galaxy (2014),Action|Adventure|Comedy|Sci-Fi
7131622,1606,Once Upon a Time ...in Hollywood (2019),Comedy|Drama
1045658,1529,Silver Linings Playbook (2012),Comedy|Drama|Romance
2562232,1519,Birdman (2014),Comedy|Drama
2802144,1507,Kingsman: The Secret Service (2014),Action|Adventure|Comedy|Thriller
0478970,1373,Ant-Man (2015),Action|Adventure|Comedy|Sci-Fi
1723121,1340,We're the Millers (2013),Comedy|Crime
