movie_id,rating,title,genre
1454468,3103,Gravity (2013),Drama|Sci-Fi|Thriller
7286456,2752,Joker (2019),Crime|Drama|Thriller
0816711,2428,World War Z (2013),Action|Adventure|Horror|Sci-Fi|Thriller
1670345,2379,Now You See Me (2013),Crime|Mystery|Thriller
2267998,2276,Gone Girl (2014),Drama|Mystery|Thriller
1535109,2162,Captain Phillips (2013),Biography|Drama|Thriller
1392214,2154,Prisoners (2013),Crime|Drama|Mystery|Thriller
2084970,2020,The Imitation Game (2014),Biography|Drama|Thriller|War
1392190,1937,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
1951264,1837,The Hunger Games: Catching Fire (2013),Action|Adventure|Sci-Fi|Thriller
